txid;index;created_block;value;fanin;fanout;fanout_share;total_value;spent_block;life;label
6390441074eb82845098f47253930ff8918d17ab538f612b85ff9622e2015b92;105;557107;0.01300672;2;201;0.0013669188844465047;9.51535614;643506;86399;1
5a2f732ba9d42590b8ab2e5035151ec747eac04b2b246cd03d1352ef8baacabe;0;522241;0.00041273;1;2;0.06233594016668026;0.00662106;643520;121279;1
4638e4f8c6be3d94270a306cc11ac37854c1bfd3bbf995426cd4a36874586d60;6;643508;0.00419201;1;22;0.00212019705262663;1.97717943;643512;4;0
887f5f1e6881b3e734c328481bfad4537cda7ac2dfbb04351d237a832bd856b9;60;534777;0.0189803;8;911;0.0002372547040011647;79.99967832000002;643519;108742;1
9af4575b171f94e054edb7b1c8f9ba4ce405f051f854017423648e4f3457d241;594;588970;0.01004116;2;1373;0.00013109452587606717;76.5948076999997;643498;54528;1
3271db7622ac52bc6829d10c75fffefdad9e6a7f41fab1be354cee55fc8eb4e2;1;643505;0.00457476;1;2;0.8307157604580344;0.00550701;643512;7;0
1ef9eae5183800e750df9d4e14d716f204e8f4f32c03813d889b24732b498a40;1;643508;0.39407266;1;2;0.9889578371575103;0.39847266000000003;643514;6;0
adbd5b31301402de132b041060a1e6cbc376f0f8be437100f71cad761f3a1f8c;0;498567;0.00790232;1;2;0.0009317067045415532;8.48155322;643513;144946;1
9e265d7596f042ccd20b4597d4130b6d14d1d49ad01830381a48c931fef80e38;0;582197;0.78666232;1;2;0.4745314201536313;1.65776656;643497;61300;1
a817c17adbe43585b03bfbc7b9a9f9f9e5fbeed870e98435866543f15648a070;0;498607;0.01076186;1;2;0.001999478753892578;5.38233276;643513;144906;1
44b428f368b733febc5f4d47bbf15bfce14020d859a1bf528246b3c7835eadcf;0;510042;0.04980286;1;2;0.8372684089703619;0.059482549999999995;643509;133467;1
6d394c25e50a6f8d2bbcbaeda1a6ca6f44d2f6505817257ff4c10143c12ff844;13;643498;0.09;4;23;0.0011680827354434362;77.04933672;643503;5;0
03449ec4a9f03071dcebc2d3ed596a3f0af3101751a087d4b7d3d1526bf8678e;94;515025;0.01876348;1;101;2.5734494307094667e-05;729.1178826400001;643515;128490;1
622cfafab39dc78fd3d43dc7ab70417c43f4bdc6089de239323f94bd52bb6326;0;496651;0.00029785;2;2;0.02513659080820237;0.01184926;643519;146868;1
820103944eefee39c2a08867349fcafb14e3c7be31fa6416de6f19e7d8897609;5;643508;0.00276454;1;24;0.00015339774694424902;18.02203784;643509;1;0
eb2948080f60afd510e1ec8ef3cf874e60478f5476c750b8abf4707424d61e59;8;643502;0.0995;14;21;0.0019685443625420073;50.54496200000001;643503;1;0
0e7267d88b07870017f8a7686fcdebe85b1bb156e6a42a6e18e6d648ea2c4a07;0;589353;0.01230273;3;2;0.5575342875477197;0.02206632;643497;54144;1
67f2c1572127aa4d941543832694988c86cc18f5b17d3a2629a5bc1b8b4e146f;1;462886;0.0454412;1;2;0.279953165762213;0.16231715000000002;643508;180622;1
f36f0cd7d8183b66b1d4dbfa51c6a9338aa13ec6ea0231fa73f5060381cb08d0;0;643491;0.84391535;1;1;1.0;0.84391535;643491;0;0
f61adbd8fb03b1ea201ac13cfeb9d048bc4b0b440c32b347bee9601be17369f3;410;531692;0.0346191;6;950;0.0005769881924756688;59.999668020000016;643519;111827;1
3c14eac66e48bcbef09037025fc067a788b6c7b68e57b284654cbb057aa84e7a;91;497295;0.00139882;1;101;2.3244038121537526e-06;601.7973265599998;643500;146205;1
95cc291122662b51165ac616d1b975c1bc47d367dd6a0e79f8b8d595891253a3;0;643505;0.382455;1;3;0.5864776476501238;0.6521220400000001;643511;6;0
560d68d3b1807a85ce1ebc19421fae8752e236df6becffd3f50d76c2ac7700c7;49;491182;1.0;3;51;0.08376393089452247;11.9383127;643492;152310;1
16f469ff4a1295058b585edd9e5cc08b5c1e33cbe7db1116502679ba82053268;24;643515;0.00215878;17;33;0.00042391457986311174;5.09248821;643518;3;0
5734ba298e03ba13a159fae01f711d00c9c6511e3c644898ae5efac55698cd17;6;643514;0.5195;1;14;0.051954220760894614;9.999187599999999;643520;6;0
2b4bf35878a5e659638718a1ea40e2447e77d7a0bbb3f87af4aaef362b54bf7e;141;532269;0.02397498;71;183;0.0045453951178862795;5.274564560000002;643513;111244;1
a3e391770a3848312f2cffc754b8411b92f5dda8a91cbb2a638de324d1ca1e21;2;643398;0.00258518;3;5;0.07174695984753514;0.03603191;643504;106;0
73424117666045812f4810facbbf460f2cbab1c46b992d36a0edee422f4ac8dd;1;643378;0.8433909;1;2;0.9898068046208258;0.85207628;643500;122;0
9f4ecace1f5abd35ed4b401a3ffb884aafc4b3531ff6c14e526d6626807f17d7;0;573992;0.00087774;2;2;0.00175240369036963;0.50087774;643496;69504;1
f3f498dd3afc883177fa68af74e7a61881a6e0dd930fc69cab95914421bbfd39;7;643502;0.004225;1;22;0.0004749751073696688;8.895202999999999;643513;11;0
64118410e2bed7538c5a8fc3ca95fe25b1537cb99f63a2071f04d133566c3a9f;1;643509;0.21989332;1;2;0.6482433398417095;0.33921416;643513;4;0
673c38ea3b33b5525587ff901c8908ddcb294f5adfa30bf6996872b1bce774d0;4;643465;0.00838852;2;7;0.08731806611008494;0.09606854999999999;643513;48;0
3cfbdc41e002c364312bc56dfb73b5598d4e76440a0649ecb81b94ab7b38950c;1;643508;0.24838632;1;2;0.8606107929031872;0.28861632;643509;1;0
147af3dbe8155b09a9c87b775df2cdb33257daae07082b4af6dd545e8ae7fde9;1;589051;0.0808948;1;2;0.9642409303079571;0.0838948;643497;54446;1
f7be99167c6ee194cd6c671afb439df2cf0177d6eff9b081e73bdd62d216a025;413;539583;0.04140138;5;950;0.0008280330732986144;49.99966950000001;643519;103936;1
c87428638b4f3c1a8b4374a1b06b2888019139c19de221ff6ed5b24e84ebe491;0;435615;0.0008757;1;2;0.028362110008841906;0.0308757;643507;207892;1
a00893915cc33392ad55721e76dd2a4cc4c472709b4791cf57aad8e7bd9d8df1;1;436206;0.00012;2;2;0.9360374414976599;0.0001282;643496;207290;1
3e62dded43a607a5c07241119771e41bf84cb62bd80ec369b3ccdb01e6de9fdb;1;643395;0.00452408;1;2;0.8638504824225575;0.00523711;643504;109;0
6236fb4d5ceb960843d8f53950675f058bd1d9be97c10fea43e81de674d69e94;9;589685;0.01881049;3;10;0.19247931975630564;0.09772732999999999;643519;53834;1
8107cb87ea70f38d36cab88f648b0dd68bf77170fa31050b20d264f68e5418fb;0;643492;0.00279155;2;2;0.014357467642144354;0.19443192;643492;0;0
d296dc11cea53b26f800e7e3c635d7adadba38dc08b56044f60a11373634cf3d;0;643502;0.00054034;2;21;0.0005569880440125904;0.9701105900000001;643509;7;0
19572851bb3f904890014c1a6c92db041e15e4349f500c1c2ae954ab12484686;1;551610;0.104225;2;2;0.9125750877026468;0.11420978;643507;91897;1
27787a86e4afb70d2f18fc10aa0ce512f9e56ab866c8cc3ef21867284d861c45;2;643500;5.46e-06;1;3;4.999456103127243e-05;0.10921188;643502;2;0
